service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
RJUN15-801-1_Weekday-90,1,1,1,1,1,0,0,20151006,20151020
RJUN15-801-1_Weekday-17,1,1,1,1,1,0,0,20151008,20151008
RJUN15-801-1_Weekday-56,1,1,1,1,1,0,0,20151009,20151009
RJUN15-801-2_Saturday-90,0,0,0,0,0,1,0,20151010,20151017
RJUN15-801-3_Sunday-90,0,0,0,0,0,0,1,20151011,20151018
RJUN15-801-1_Weekday-91,1,1,1,1,1,0,0,20151016,20151016
RJUN15-804-1_Weekday-92,1,1,1,1,1,0,0,20151006,20151020
RJUN15-804-1_Weekday-93,1,1,1,1,1,0,0,20151009,20151016
RJUN15-804-2_Saturday-14,0,0,0,0,0,1,0,20151010,20151010
RJUN15-804-3_Sunday-92,0,0,0,0,0,0,1,20151011,20151018
RJUN15-804-2_Saturday-92,0,0,0,0,0,1,0,20151017,20151017
RJUN15-803-1_Weekday-17,1,1,1,1,1,0,0,20151006,20151006
RJUN15-803-1_Weekday-15,1,1,1,1,1,0,0,20151007,20151008
RJUN15-803-1_Weekday-16,1,1,1,1,1,0,0,20151009,20151009
RJUN15-803-2_Saturday-90,0,0,0,0,0,1,0,20151010,20151017
RJUN15-803-3_Sunday-90,0,0,0,0,0,0,1,20151011,20151018
RJUN15-803-1_Weekday-90,1,1,1,1,1,0,0,20151012,20151020
RJUN15-803-1_Weekday-91,1,1,1,1,1,0,0,20151016,20151016
RJUN15-802CAR-1_Weekday-26,1,1,1,1,1,0,0,20151006,20151007
RJUN15-802CAR-1_Weekday-90,1,1,1,1,1,0,0,20151008,20151020
RJUN15-802CAR-1_Weekday-91,1,1,1,1,1,0,0,20151009,20151016
RJUN15-802CAR-2_Saturday-90,0,0,0,0,0,1,0,20151010,20151017
RJUN15-802CAR-3_Sunday-90,0,0,0,0,0,0,1,20151011,20151018
